"Nome ",ID,Группа,Дата Последней Котировки,Дата стоимости,Ед. Измерения,Категория,"Название RU ",Название RU [AI],Последний Поставщик,Последняя Котировка,Поставщик / Подрядчик,Поставщики,Создано,Стоимость,💯 Котировки поставщиков
BUCHA C/ PREGO PLAST.CERT. Ø10x120mm CX/200un.,500.3120,,,"October 6, 2025 11:29 AM",un,,,Гвоздь (пластиковый) с сертификацией Ø10x120мм (CX/200шт).,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.16,
BUCHA C/ PREGO PLAST.CERT. Ø10x140mm CX/200un.,500.3140,,,"October 6, 2025 11:29 AM",un,,,Гвоздь (Prego) пластиковый сертифицированный Ø10x140мм (C/ PREGO PLAST.CERT. Ø10x140mm) упак. по 200шт. (CX/200un.),,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.18,
BUCHA C/ PREGO PLAST.CERT. Ø10x160mm CX/200un.,500.3160,,,"October 6, 2025 11:29 AM",un,,,Гвоздь (BUCHA C/ PREGO PLAST.CERT. Ø10x160мм CX/200шт.),,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.20,
BUCHA C/ PREGO PLAST.CERT. Ø10x180mm CX/200un.,500.3180,,,"October 6, 2025 11:29 AM",un,,,Гвоздь (Prego) пластик. сертифицированный Ø10x180мм в упаковке 200 шт.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.23,
BUCHA C/ PREGO PLAST.CERT. Ø10x200mm CX/200un.,500.3200,,,"October 6, 2025 11:29 AM",un,,,"Гвоздь пластиковый (CERT.) Ø10x200мм, упаковка 200шт.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.27,
BUCHA C/ PREGO PLAST.CERT. Ø10x220mm CX/100un.,500.3220,,,"October 6, 2025 11:29 AM",un,,,Гвоздь пластиковый сертифицированный Ø10x220мм (BUCHA C/ PREGO PLAST.CERT.),,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.29,
BUCHA C/ PREGO PLAST.CERT. Ø10x260mm CX/100un.,500.3260,,,"October 6, 2025 11:29 AM",un,,,"Гвоздь (Prego) пластиковый сертифицированный Ø10x260мм, упаковка 100шт.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.34,
BUCHA C/ PREGO AÇO CERT. Ø10X70mm CX/200un.,500.4070,,,"October 6, 2025 11:29 AM",un,,,Гвоздь (гвоздь) из стали сертифицированный Ø10X70мм (CX/200шт).,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.13,
BUCHA C/ PREGO AÇO CERT. Ø10X90mm CX/200un.,500.4090,,,"October 6, 2025 11:29 AM",un,,,Гвоздь стальной с покрытием Ø10X90мм (C/ PREGOS AÇO CERT. Ø10X90mm) в упаковке по 200шт.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.16,
BUCHA C/ PREGO AÇO CERT. Ø10X110mm CX/200un.,500.4110,,,"October 6, 2025 11:29 AM",un,,,Гвоздь стальной с зацепом (Ø10X110мм) (BUCHA C/ PREGO AÇO CERT.) в упаковке по 200шт.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.17,
BUCHA C/ PREGO AÇO CERT. Ø10X140mm CX/200un.,500.4140,,,"October 6, 2025 11:29 AM",un,,,Гвоздь стальной (Ø10x140мм) (BUCHA C/ PREGO AÇO CERT. Ø10X140mm CX/200un.),,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.22,
ARANDELA PLAST.CERT. Ø65mm CX/600un.,500.5000,,,"October 6, 2025 11:29 AM",un,,,АРАНДЕЛА ПЛАСТ.ЦЕРТ. Ø65мм CX/600шт.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.14,
DISCO EPS Ø65x15mm CX/100un.,500.6000,,,"October 6, 2025 11:29 AM",un,,,ДИСК EPS Ø65x15мм CX/100шт.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.10,
,PÁGIN. 30 - COLA DE EPS E XPS,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
COLA CHOVASTAR POLIESTIRENO LATA/ 1 LT.,007.8201,,,"October 6, 2025 11:29 AM",Lt,,,КОЛА CHOVASTAR ПОЛИЭСТИРОЛ ЛИТР/ 1 Л.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€7.70,
COLA CHOVASTAR POLIESTIRENO LATA/ 5 LT.,007.8202,,,"October 6, 2025 11:30 AM",Lt,,,КОЛА CHOVASTAR ПОЛИЭСТИРОЛ ЛИТР/ 5 Л.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€7.55,
,PÁGIN. 31 - XPS ALTA RESISTENCIA 500 - DANOPREN,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
"XPS DANOPREN 500 - 1250x600x50 8PL/6,00m2/PAC.",300.4050,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN 500 - 1250x600x50 8PL/6,00м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€12.25,
"XPS DANOPREN 500 - 1250x600x80 5PL/3,75m2/PAC.",300.4080,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN 500 - 1250x600x80 5PL/3,75м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€19.60,
,PÁGIN. 31 - XPS FACHADA ETICS - DANOPREN FS-P,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
"XPS DANOPREN FS-P - ETICS 1250x600x25 16PL/12,00m2/PAC",300.2025,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN FS-P - ETICS 1250x600x25 16PL/12,00м2/ПАК",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€6.61,
"XPS DANOPREN FS-P - ETICS 1250x600x40 10PL/7,50m2/PAC",300.2040,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN FS-P - ETICS 1250x600x40 10PL/7,50м2/ПАК",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€8.48,
"XPS DANOPREN FS-P - ETICS 1250x600x50 8PL/6,00m2/PAC",300.2050,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN FS-P - ETICS 1250x600x50 8PL/6,00м2/ПАК",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€10.60,
"XPS DANOPREN FS-P - ETICS 1250x600x60 7PL/5,25mt./PAC.",300.2060,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN FS-P - ETICS 1250x600x60 7PL/5,25м./PAC.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€12.72,
"XPS DANOPREN FS-P - ETICS 1250x600x80 5PL/3,75m2/PAC",300.2080,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN FS-P - ETICS 1250x600x80 5PL/3,75м2/ПАК",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€16.96,
"XPS DANOPREN FS-P - ETICS 1250x600x100 4PL/3,00m2/PAC",300.2100,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN FS-P - ETICS 1250x600x100 4PL/3,00м2/ПАК",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€21.75,
,PÁGIN. 31 - XPS FACHADA ETICS CB - SOPRA,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
"XPS SOPRA MULTI 20 - 1250x600x20 20PL/15,00m2/PAC",305.2020,,,"October 6, 2025 11:29 AM",m2,,,"XPS SOPRA MULTI 20 - 1250x600x20 20ПЛ/15,00м2/ПАК",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€5.65,
,PÁGIN. 31 - XPS PAREDE - CX. AR - DANOPREN PR-P,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
"XPS DANOPREN PR-P - CX.AR 2600x600x40 10PL/15,60m2/PAC.",300.0264,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN PR-P - http://cx.ar/ 2600x600x40 10PL/15,60м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€7.60,
"XPS DANOPREN PR-P - CX.AR 2600x600x50 8PL/12,48m2/PAC.",300.0265,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN PR-P - http://cx.ar/ 2600x600x50 8ПЛ/12,48м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€9.50,
"XPS DANOPREN PR-P - CX.AR 2600x600x60 7PL/10,92m2/PAC.",300.0266,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN PR-P - http://cx.ar/ 2600x600x60 7PL/10,92м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€11.40,
"XPS DANOPREN PR-P - CX.AR 2600x600x80 5PL/7,80m2/PAC.",300.0268,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN PR-P - http://cx.ar/ 2600x600x80 5PL/7,80м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€15.20,
"XPS DANOPREN PR-P - CX.AR 2600x600x100 4PL/6,24m2/PAC.",300.0270,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN PR-P - http://cx.ar/ 2600x600x100 4PL/6,24м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€19.50,
,PÁGIN. 31 - XPS PAREDE CW - CX. AR - SOPRA,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
"XPS SOPRA CW - CX.AR 2600x600x40 10PL/15,60m2/PAC.",305.0264,,,"October 6, 2025 11:29 AM",m2,,,"XPS SOPRA CW - http://cx.ar/ 2600x600x40 10PL/15,60м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€7.48,
"XPS SOPRA CW - CX.AR 2600x600x50 8PL/12,48m2/PAC.",305.0265,,,"October 6, 2025 11:29 AM",m2,,,"XPS SOPRA CW - http://cx.ar/ 2600x600x50 8PL/12,48м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€9.35,
"XPS SOPRA CW - CX.AR 2600x600x60 7PL/10,92m2/PAC.",305.0266,,,"October 6, 2025 11:29 AM",m2,,,"XPS SOPRA CW - http://cx.ar/ 2600x600x60 7PL/10,92м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€11.22,
"XPS SOPRA CW - CX.AR 2600x600x80 5PL/7,80m2/PAC.",305.0268,,,"October 9, 2025 4:47 PM",m2,XPS,,"XPS SOPRA CW - (http://cx.ar/) 2600x600x80 - Описание и назначение

- Экструдированный пенополистирол (XPS) толщиной 80 мм, используемый для теплоизоляции в строительстве
- Размеры плит: 2600×600×80 мм
- В упаковке содержится 5 плит общей площадью 7,80 м²
- Применяется для утепления фасадов, кровель, полов, фундаментов и других строительных конструкций
- Материал обладает высокими теплоизоляционными характеристиками, низким водопоглощением и хорошей прочностью на сжатие
- Используется в жилом и коммерческом строительстве для повышения энергоэффективности зданий
- Продается и учитывается в квадратных метрах (м²)
- Текущая стоимость: 14,96 € за м²",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€14.96,
"XPS SOPRA CW - CX.AR 2600x600x100 4PL/6,24m2/PAC.",305.0270,,,"October 6, 2025 11:29 AM",m2,,,"XPS SOPRA CW - http://cx.ar/ 2600x600x100 4PL/6,24м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€18.70,
,PÁGIN. 31 - XPS RANHURADO TELHADO - DANOPREN TL-P,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
"XPS DANOPREN TL-P - RANHUR 1250x600x40 10PL/7,50m2/PAC.",300.0040,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TL-P - RANHUR 1250x600x40 10ПЛ/7,50м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€7.72,
"XPS DANOPREN TL-P - RANHUR 1250x600x50 8PL/6,00m2/PAC.",300.0050,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TL-P - RANHUR 1250x600x50 8ПЛ/6,00м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€9.65,
"XPS DANOPREN TL-P - RANHUR 1250x600x60 7PL/5,25m2/PAC.",300.0060,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TL-P - RANHUR 1250x600x60 7PL/5,25м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€11.58,
"XPS DANOPREN TL-P - RANHUR 1250x600x80 5PL/3,75m2/PAC.",300.0080,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TL-P - RANHUR 1250x600x80 5PL/3,75м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€15.44,
"XPS DANOPREN TL-P - RANHUR 1250x600x100 4PL/3,00m2/PAC.",300.0100,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TL-P - RANHUR 1250x600x100 4PL/3,00м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€19.80,
,PÁGIN. 31 - XPS TERRAÇO - DANOPREN TR-P,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
"XPS DANOPREN TR-P - TERRAÇO 1250x600x40 10PL/7,50m2/PAC.",300.1040,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TR-P - ТЕРАССА 1250x600x40 10ПЛ/7,50м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€7.72,
"XPS DANOPREN TR-P - TERRAÇO 1250x600x50 8PL/6,00m2/PAC.",300.1050,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TR-P - ТЕРАССА 1250x600x50 8ПЛ/6,00м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€9.65,
"XPS DANOPREN TR-P - TERRAÇO 1250x600x60 7PL/5,25m2/PAC.",300.1060,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TR-P - ТЕРАЦЦО 1250x600x60 7PL/5,25м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€11.58,
"XPS DANOPREN TR-P - TERRAÇO 1250x600x80 5PL/3,75m2/PAC.",300.1080,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TR-P - ТЕРАСА 1250x600x80 5ПЛ/3,75м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€15.44,
"XPS DANOPREN TR-P - TERRAÇO 1250x600x100 4PL/3,00m2/PAC.",300.1100,,,"October 6, 2025 11:29 AM",m2,,,"XPS DANOPREN TR-P - ТЕРАССА 1250x600x100 4ПЛ/3,00м2/ПАК.",,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€19.80,
,PÁGIN. 31.1 - ARGAMASSA COLAGEM - ETICS (CAPOTTO) - CARCOLA,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
Argamassa Colagem ETICS CARCOLA - K30 - Cinza 25Kg./Saco,162.02.001,"Клей для пенопласта, кг (https://www.notion.so/28718f6638738036ba48e16c35c0acca?pvs=21)",,"October 9, 2025 4:50 PM",Saco,Клеи и герметики,,Армирующий клеевой раствор для системы теплоизоляции фасадов ETICS (наружная система теплоизоляции и отделки) - K30 - Серый 25кг/Мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€15.50,
Argamassa Colagem ETICS CARCOLA - K30 - Branco 25Kg./Saco,162.02.002,"Клей для пенопласта, кг (https://www.notion.so/28718f6638738036ba48e16c35c0acca?pvs=21)",,"October 9, 2025 4:48 PM",Saco,Клеи и герметики,,Армирующий клеевой раствор ETICS CARCOLA - K30 - белый 25кг/мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€17.25,
Argamassa Colagem ETICS CARCOLA - K50 - Cinza 25Kg./Saco,162.02.101,"Клей для пенопласта, кг (https://www.notion.so/28718f6638738036ba48e16c35c0acca?pvs=21)",,"October 6, 2025 11:29 AM",Saco,Строительные смеси,,Армирующий клей ETICS CARCOLA - K50 - Серый 25кг./Мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€22.50,
Argamassa Colagem ETICS CARCOLA - K50 - Branco 25Kg./Saco,162.02.102,"Клей для пенопласта, кг (https://www.notion.so/28718f6638738036ba48e16c35c0acca?pvs=21)",,"October 6, 2025 11:29 AM",Saco,Строительные смеси,,Армирующий состав для приклеивания ETICS CARCOLA - K50 - Белый 25кг./Мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€24.45,
,PÁGIN. 31.1 - ARGAMASSA COLAGEM E REVESTIMENTO CAPOTTO - MAPEI,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
Mapetherm AR1 Cinza 25Kg./Saco,145.255125,,,"October 6, 2025 11:29 AM",Saco,,,Mapetherm AR1 Серый 25кг./Мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€21.90,
Mapetherm AR2 GG White - Branco 25Kg./Saco,145.2553925,,,"October 6, 2025 11:29 AM",Saco,,,Mapetherm AR2 GG White - Branco 25кг/пакет,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€21.20,
Mapetherm AR2 Cinza 25Kg./Saco,145.7343025,,,"October 6, 2025 11:29 AM",Saco,,,Mapetherm AR2 серый 25кг/мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€17.78,
,PÁGIN. 31.1 - BETUMAÇÃO DE JUNTAS - CARCOLA,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
Betume Azulejo + Tijoleiras CARCOLA - Cinza 5Kg./Balde,162.01.501,,,"October 6, 2025 11:29 AM",BALD,,,Битумный плитка + Тротуарная плитка CARCOLA - Серый 5кг./Ведро,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
Betume Azulejo + Tijoleiras CARCOLA - Preto 5Kg./Balde,162.01.503,,,"October 6, 2025 11:29 AM",BALD,,,Битумный клей для плитки + плитки CARCOLA - Черный 5кг./Ведро,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
,PÁGIN. 31.1 - CIMENTO COLA - CARCOLA,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
Cimento Cola CARCOLA CLÁSSICO - C1 - Cinza 25Kg./Saco,162.01.001,,,"October 6, 2025 11:29 AM",Saco,,,Цемент Клей CARCOLA КЛАССИЧЕСКИЙ - C1 - Серый 25кг./Сумка,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€6.00,
Cimento Cola CARCOLA PORCELANATO - C2 - Cinza 25Kg./Saco,162.01.101,,,"October 6, 2025 11:29 AM",Saco,,,Цементный клей CARCOLA PORCELANATO - C2 - Серый 25кг./мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€12.50,
Cimento Cola CARCOLA PORCELANATO - C2 - Branco 25Kg./Saco,162.01.102,,,"October 6, 2025 11:29 AM",Saco,,,Цемент Cola CARCOLA PORCELANATO - C2 - Белый 25кг/пакет,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€14.25,
Cimento Cola CARCOLA FLEX - C3 - Cinza 25Kg./Saco,162.01.201,,,"October 6, 2025 11:29 AM",Saco,,,Цемент Клей CARCOLA FLEX - C3 - Серый 25кг/Мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€25.35,
Cimento Cola CARCOLA FLEX - C3 - Branco 25Kg./Saco,162.01.202,,,"October 6, 2025 11:29 AM",Saco,,,Цемент Cola CARCOLA FLEX - C3 - Белый 25кг./Мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€26.40,
Cimento Cola CARCOLA FLEX 2 - C3 - Cinza 25Kg./Saco,162.01.301,,,"October 6, 2025 11:29 AM",Saco,,,Цемент клей CARCOLA FLEX 2 - C3 - Серый 25кг./пакет,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€28.35,
Cimento Cola CARCOLA FLEX 2 - C3 - Branco 25Kg./Saco,162.01.302,,,"October 6, 2025 11:29 AM",Saco,,,Цемент Клей CARCOLA FLEX 2 - C3 - Белый 25кг./Мешок,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€29.55,
,PÁGIN. 32 - BORRACHA TRITURADA,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
BORRACHA TRITURADA P/BETÃO 25Kg./SACO,155.5025,,,"October 6, 2025 11:29 AM",kg,,,БОРРАЧА ТРИТУРАДА ДЛЯ БЕТОНА 25кг./МЕШОК,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.38,
BORRACHA TRITURADA P/BETÃO 1000Kg./SACO,155.5100,,,"October 6, 2025 11:29 AM",kg,,,БОРРАЧА ТРИТУРАДА ДЛЯ БЕТОНА 1000Кг./МЕШОК,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€0.35,
,PÁGIN. 32 - ESFEROVITE TRITURADO E VIRGEM PARA BETÃO LEVE,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
POLIESTIRENO GRANLEV GRÃO-VIRGEM SACO= 120Lts.,400.1000,,,"October 6, 2025 11:29 AM",Saco,,,ПОЛИЭТИЛЕН ГРАНЛЕВ ГРАНУЛЫ (ГРАНУЛЫ) 120л.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
POLIESTIRENO TRI-LEV NORMAL SACO= 500Lts.,400.1005,,,"October 6, 2025 11:29 AM",Saco,,,ПОЛИСТИРОЛ TRI-LEV NORMAL САКО= 500л.,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",€25.00,
,PÁGIN. 32 - POLIESTIRENO ESPANDIDO ( ESFEROVITE ) - EPS100 - ETICS,,,"September 25, 2025 11:59 AM",,,,,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 25, 2025 11:50 AM",,
